Time,Event,Source
2021年11月13日,昨（13日）為第3屆走鐘獎頒獎典禮，許多Youubr齊聚一堂，令人驚訝的是，賀瓏和老K也在「龍K之亂」後首度同框，瞬間引起網友熱議。,32
2021年11月14日,黃豪平今（14日）曬出了走鐘獎的後台照，「沒毛病，博恩、老K、喬瑟夫、賀瓏，薩泰爾真的都到齊了耶！,32
2021年11月,沒想到一票人才在11月中旬盛裝出席YouTubr、網紅界的一大盛事「走鐘獎」，老K卻在近日自爆將離開薩泰爾娛樂，讓一票網友驚愕不已。,33
2021年12月04日,不過，老K的道別影片中還巧妙利用龍龍的「記錯了」道歉梗，只見影片中的老K站在薩泰爾娛樂辦公室門口準備離開，卻未見博恩、賀瓏出面送別，而他最後也忍不住走向辦公室，才發現原來當天是週末：「X，今天禮拜六，我記錯了啦！,33
2021年10月7日,而延燒多日的「龍K之亂」，風向則在一晚之間出現大轉變，原先多次發聲力挺龍龍的雞排妹，7日晚間就開了直播「屠龍」，痛批她自走砲還說謊成性、甚至假哭來博取同情，導火線則是因為龍龍對於老K在《炎上》提她前男友的事件，在鬧出如此大的風波後只來了一句「記錯了」，讓這些天以來為她忙裡忙外的經紀公司人士都傻眼，決定急切割與其終止合約，精彩翻盤吸引約6萬人同時在線收看。,34
2021年10月2日,2日博恩也終於出面，除瞭解釋事情始末與雙方之間在發生誤會後的溝通之外，也表明公司絕對不會包庇做錯事的老K，宣佈即日期無限期留職停薪，同時也難過痛哭表示管不動他，還拿諸葛亮揮淚斬馬謖的事件來比喻自己與老K，在鏡前痛哭表示：「人家街亭失守就真的打不回來了，你為什麼不肯道歉？,34
2021年10月3日,事後，隔天（3日）神隱的老K也終於出面，不過立場十分強硬，不只批評龍龍是喜劇圈毒瘤，也表態：「我絕對不會跟這個人道歉」。,34
2020年,隨後這起風波更是越演越烈，呱吉隨後又在直播中大爆龍龍去年夏天時，因不滿在群組內發言沒人回話，就爆氣退出《吐槽大會》成員群組的料，更直言不知道如何跟她相處，再次開啟戰場；,34
2021年10月6日,而龍龍也在6日晚間再度出面發聲，再次批評老K、博恩、薩泰爾，甚至是呱吉等人，雖然在裡面聲淚俱下控訴，但被網友抓包疑似是假哭，這種不斷另開戰場的作法，也終於惹怒先前一直在背後挺龍龍的雞排妹與經紀人康姊,34
2021年10月7日,7日晚間直接開直播和龍龍徹底決裂。,34
2021年10月3日,雞排妹更爆料，龍龍3日提出因薩泰爾公布的腳本是假的，向公司表明現場確實有提到前男友這回事，因此要拍影片回擊，公司方面最終同意幫她，不過龍龍開會過程中竟決定安排假哭的橋段，拍攝過程中更會刻意多加腳本上沒有的攻擊他人話語，讓雞排妹徹底傻眼，警告龍龍：「妳已經做出很多傷害到公司的事情，如果你繼續這樣，博恩是揮淚斬馬謖，妳信不信我把所有內幕講出來，我是家純屠龍記，妳不要以為我做不到！,34
2022年08月27日,坦帕灣光芒台灣好手張育成今（27日）再度代打上陣，2打數沒有安打,35
2022年08月27日,加上今天已經連續10打數沒有敲安，陷入打擊率2成保衛戰。,35
2022年08月27日,]一起來欣賞今日的5大好球！,35
2022年08月27日, 臺灣好手張育成今（28日）以二壘手第7棒身份先發，在歷經10打數沒有安打的低潮後，3局上首打席就敲出內野安打，5局上再從Hi手中選到保送，7局上則是吞下三振，9局上被崔志萬接替代打，總計張育成留下2支1、1保送、吞1K，打擊率上升至0.205；,35
